feature,value,id,kind
pitcher,690382,438,categorical
pitcher,665795,439,categorical
pitcher,674444,440,categorical
pitcher,676961,441,categorical
pitcher,500743,442,categorical
pitcher,669372,443,categorical
pitcher,682610,444,categorical
pitcher,681892,445,categorical
pitcher,642121,446,categorical
pitcher,671096,447,categorical
pitcher,693312,448,categorical
pitcher,669371,449,categorical
pitcher,671212,450,categorical
pitcher,656848,451,categorical
pitcher,605242,452,categorical
pitcher,679358,453,categorical
pitcher,694037,454,categorical
pitcher,681895,455,categorical
pitcher,664747,456,categorical
pitcher,668984,457,categorical
pitcher,676272,458,categorical
pitcher,681432,459,categorical
pitcher,672456,460,categorical
pitcher,675911,461,categorical
pitcher,663795,462,categorical
pitcher,657376,463,categorical
pitcher,700187,464,categorical
pitcher,694335,465,categorical
pitcher,621051,466,categorical
pitcher,682052,467,categorical
pitcher,696136,468,categorical
pitcher,623465,469,categorical
pitcher,687287,470,categorical
pitcher,666661,471,categorical
pitcher,656420,472,categorical
pitcher,687064,473,categorical
pitcher,694363,474,categorical
pitcher,592779,475,categorical
pitcher,686753,476,categorical
pitcher,701656,477,categorical
pitcher,687606,478,categorical
pitcher,622253,479,categorical
pitcher,521230,480,categorical
pitcher,806188,481,categorical
pitcher,547001,482,categorical
pitcher,691094,483,categorical
pitcher,622761,484,categorical
pitcher,596142,485,categorical
pitcher,688642,486,categorical
pitcher,684974,487,categorical
pitcher,677020,488,categorical
pitcher,666215,489,categorical
pitcher,683766,490,categorical
pitcher,677955,491,categorical
pitcher,668970,492,categorical
pitcher,690544,493,categorical
pitcher,695445,494,categorical
pitcher,678394,495,categorical
pitcher,666659,496,categorical
pitcher,686249,497,categorical
pitcher,656641,498,categorical
pitcher,605218,499,categorical
pitcher,663562,500,categorical
pitcher,687849,501,categorical
pitcher,680880,502,categorical
pitcher,668964,503,categorical
pitcher,675848,504,categorical
pitcher,692285,505,categorical
pitcher,700270,506,categorical
pitcher,519141,507,categorical
pitcher,682989,508,categorical
pitcher,691594,509,categorical
pitcher,686701,510,categorical
pitcher,820862,511,categorical
pitcher,680951,512,categorical
pitcher,663465,513,categorical
pitcher,664991,514,categorical
pitcher,688138,515,categorical
pitcher,671109,516,categorical
pitcher,669721,517,categorical
pitcher,680689,518,categorical
pitcher,680742,519,categorical
pitcher,674944,520,categorical
pitcher,660787,521,categorical
pitcher,554431,522,categorical
pitcher,595978,523,categorical
pitcher,570632,524,categorical
pitcher,642708,525,categorical
pitcher,675989,526,categorical
pitcher,669717,527,categorical
pitcher,676617,528,categorical
pitcher,672391,529,categorical
pitcher,641540,530,categorical
pitcher,571771,531,categorical
pitcher,643361,532,categorical
pitcher,502043,533,categorical
pitcher,676702,534,categorical
pitcher,676680,535,categorical
pitcher,664062,536,categorical
pitcher,805123,537,categorical
pitcher,702070,538,categorical
pitcher,608337,539,categorical
pitcher,641778,540,categorical
pitcher,663399,541,categorical
pitcher,656464,542,categorical
pitcher,606965,543,categorical
pitcher,695534,544,categorical
pitcher,687074,545,categorical
pitcher,650893,546,categorical
pitcher,686654,547,categorical
pitcher,682825,548,categorical
pitcher,623167,549,categorical
pitcher,670036,550,categorical
pitcher,571466,551,categorical
pitcher,620454,552,categorical
pitcher,680684,553,categorical
pitcher,664199,554,categorical
pitcher,666374,555,categorical
pitcher,691172,556,categorical
pitcher,605177,557,categorical
pitcher,543518,558,categorical
pitcher,657053,559,categorical
pitcher,663568,560,categorical
pitcher,663432,561,categorical
pitcher,694918,562,categorical
pitcher,681810,563,categorical
pitcher,621121,564,categorical
pitcher,624133,565,categorical
pitcher,700241,566,categorical
pitcher,674072,567,categorical
pitcher,673380,568,categorical
pitcher,673965,569,categorical
pitcher,690986,570,categorical
pitcher,694350,571,categorical
pitcher,641401,572,categorical
pitcher,676070,573,categorical
pitcher,685299,574,categorical
pitcher,676701,575,categorical
pitcher,641312,576,categorical
pitcher,691441,577,categorical
pitcher,669308,578,categorical
pitcher,665660,579,categorical
pitcher,607732,580,categorical
pitcher,690990,581,categorical
pitcher,660844,582,categorical
pitcher,680755,583,categorical
pitcher,681869,584,categorical
pitcher,608665,585,categorical
pitcher,669020,586,categorical
pitcher,671305,587,categorical
pitcher,683627,588,categorical
pitcher,676467,589,categorical
pitcher,677960,590,categorical
pitcher,642016,591,categorical
pitcher,694646,592,categorical
pitcher,640454,593,categorical
pitcher,687424,594,categorical
pitcher,668390,595,categorical
pitcher,687223,596,categorical
pitcher,702795,597,categorical
pitcher,612434,598,categorical
pitcher,657756,599,categorical
pitcher,642528,600,categorical
pitcher,595897,601,categorical
pitcher,642239,602,categorical
pitcher,477132,603,categorical
pitcher,677944,604,categorical
pitcher,805673,605,categorical
pitcher,669704,606,categorical
pitcher,690953,607,categorical
pitcher,621512,608,categorical
pitcher,676661,609,categorical
pitcher,519326,610,categorical
pitcher,605288,611,categorical
pitcher,687888,612,categorical
pitcher,552640,613,categorical
pitcher,668834,614,categorical
pitcher,642180,615,categorical
pitcher,679922,616,categorical
pitcher,681347,617,categorical
pitcher,692230,618,categorical
pitcher,676755,619,categorical
pitcher,669923,620,categorical
pitcher,656896,621,categorical
pitcher,647351,622,categorical
pitcher,676083,623,categorical
pitcher,669432,624,categorical
pitcher,621139,625,categorical
pitcher,663941,626,categorical
pitcher,676879,627,categorical
pitcher,683021,628,categorical
pitcher,663671,629,categorical
pitcher,688158,630,categorical
pitcher,677952,631,categorical
pitcher,669084,632,categorical
pitcher,682274,633,categorical
pitcher,596112,634,categorical
pitcher,663804,635,categorical
pitcher,680604,636,categorical
pitcher,689958,637,categorical
pitcher,676969,638,categorical
pitcher,663967,639,categorical
pitcher,680862,640,categorical
pitcher,689266,641,categorical
pitcher,656257,642,categorical
pitcher,694851,643,categorical
pitcher,656186,644,categorical
